0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,Mood,Sick?
7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,12.0,12.0,20.0,21.0,14.0,7.0,14.0,14.0,14.0,14.0,14.0,-5,n
14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.1,2.0,7.0,7.0,11.0,16.3,16.3,1.0,17.1,17.1,17.1,17.1,17.1,18.0,18.0,-7,n
7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,11.0,11.0,11.0,2.0,7.0,7.0,7.0,16.2,14.0,14.0,12.0,15.0,-6,n
15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,10.0,10.0,10.0,10.0,10.0,20.0,22.0,7.0,14.0,14.0,1.0,20.0,7.0,3.0,14.0,-5,n
14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,10.0,10.0,10.0,10.0,10.0,16.3,20.0,16.3,16.3,16.3,16.3,11.0,11.0,20.0,15.0,-6,n
1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.1,10.0,10.0,10.0,10.0,10.0,3.0,1.0,1.0,3.0,12.0,12.0,15.0,15.0,11.0,15.0,-5,n
1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,10.0,10.0,10.0,10.0,10.0,22.0,20.0,11.0,11.0,7.0,7.0,7.0,2.0,1.0,1.0,-7,n
1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,2.0,10.0,10.0,10.0,10.0,10.0,11.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,-7,n
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.1,5.0,5.0,5.0,5.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,-6,n
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,6.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,-4,n
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.1,10.0,10.0,10.0,10.0,10.0,3.0,12.0,12.0,3.0,20.0,20.0,2.0,18.1,18.1,18.1,-7,n
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,10.0,10.0,10.0,10.0,10.0,20.0,18.0,16.3,16.3,18.1,18.1,18.1,7.0,19.0,19.0,-5,n
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,10.0,10.0,10.0,10.0,10.0,18.0,20.0,11.0,7.0,17.1,17.1,17.1,17.1,18.1,18.1,-5,n
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,10.0,10.0,10.0,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,2.0,1.0,1.0,1.0,-4,y
1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.1,10.0,10.0,10.0,10.0,10.0,10.0,12.0,18.1,18.1,12.0,12.0,12.0,12.0,12.0,12.0,12.0,-4,y
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.1,11.0,11.0,11.0,20.0,20.0,20.0,11.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,-6,n
